,Cities,Country,Date Time,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed
323,Narsaq,GL,1590015899.0,55.4,60.92,-46.05,22.0,2.0,12.75
324,Doha,QA,1590015902.0,89.01,25.29,51.53,74.0,83.0,5.82
325,Oranjemund,NA,1590015819.0,66.33,-28.55,16.43,36.0,0.0,4.0
326,Arouca,TT,1590015908.0,81.0,10.63,-61.33,74.0,20.0,19.46
327,Cockburn Town,TC,1590015912.0,80.55,21.46,-71.14,84.0,97.0,14.56
328,Sistranda,NO,1590015915.0,46.4,63.73,8.83,74.0,2.0,10.29
329,Nanortalik,GL,1590015565.0,41.27,60.14,-45.24,67.0,90.0,3.51
330,La Cruz,MX,1590015921.0,86.0,23.92,-106.9,62.0,18.0,5.99
331,Kampong Thom,KH,1590015924.0,80.17,12.71,104.89,90.0,99.0,1.77
332,Ossora,RU,1590015694.0,35.62,59.24,163.07,90.0,4.0,4.27
333,Jumla,NP,1590015666.0,48.97,29.27,82.18,47.0,0.0,2.68
334,Kaduqli,SD,1590015933.0,84.43,11.02,29.72,51.0,100.0,4.29
335,Ancud,CL,1590015503.0,46.99,-41.87,-73.82,87.0,98.0,3.36
336,Chapais,CA,1590015939.0,69.8,49.78,-74.85,22.0,40.0,9.17
337,Guerrero Negro,MX,1590015943.0,72.55,27.98,-114.06,47.0,0.0,18.3
338,Grushevskaya,RU,1590015946.0,57.99,47.44,39.95,100.0,75.0,4.47
339,Naze,JP,1590015949.0,69.8,28.37,129.48,77.0,75.0,2.24
340,Norman Wells,CA,1590015952.0,48.2,65.28,-126.83,45.0,75.0,11.41
341,Guerrero,MX,1590015955.0,92.61,17.67,-100.0,18.0,15.0,2.44
342,Mandalgovi,MN,1590015958.0,47.88,45.76,106.27,56.0,0.0,21.68
343,Eyl,SO,1590015961.0,84.33,7.98,49.82,66.0,97.0,24.45
344,Sharjah city,AE,1590015729.0,89.6,25.36,55.4,37.0,87.0,4.7
345,Ranong,TH,1590015968.0,81.32,9.97,98.63,84.0,100.0,9.89
346,Pangnirtung,CA,1590015756.0,33.4,66.15,-65.71,91.0,100.0,8.28
347,Cabinda,AO,1590015974.0,78.57,-5.55,12.2,83.0,0.0,3.76
348,Lompoc,US,1590015977.0,66.2,34.64,-120.46,55.0,1.0,14.99
349,Gari,RU,1590015980.0,47.95,59.43,62.35,95.0,48.0,6.4
350,Vera Cruz,BR,1590015983.0,68.25,-12.63,-41.03,88.0,77.0,5.97
351,Varadero,CU,1590015986.0,77.0,23.15,-81.25,94.0,75.0,5.82
352,Zhanakorgan,KZ,1590015989.0,57.31,43.91,67.25,46.0,53.0,5.06
353,Kumul,CN,1590015993.0,76.39,42.8,93.45,29.0,99.0,13.33
354,Hofn,IS,1590015996.0,46.22,64.25,-15.21,89.0,100.0,12.15
355,Fairbanks,US,1590015718.0,68.0,64.84,-147.72,17.0,90.0,9.17
356,Hervey Bay,AU,1590016002.0,64.0,-25.3,152.85,95.0,100.0,5.99
357,Aswān,EG,1590015629.0,86.7,24.09,32.91,28.0,6.0,8.97
358,Beihai,CN,1590016008.0,83.98,21.48,109.1,85.0,100.0,14.32
359,Cidreira,BR,1590016011.0,68.54,-30.18,-50.21,84.0,0.0,10.71
360,Tomatlán,MX,1590016014.0,91.4,19.93,-105.25,36.0,0.0,11.68
361,Riacho de Santana,BR,1590016017.0,71.6,-13.61,-42.94,78.0,28.0,6.93
362,Aklavik,CA,1590016021.0,44.6,68.22,-135.01,33.0,20.0,6.93
363,Jiayuguan City,CN,1590016024.0,65.34,39.82,98.3,26.0,80.0,3.53
364,Markova,UA,1590016027.0,44.17,48.68,24.41,88.0,88.0,2.73
365,Saint-François,FR,1590016030.0,59.0,46.42,3.91,76.0,0.0,3.44
366,Ilebo,CD,1590016033.0,71.74,-4.32,20.58,71.0,0.0,0.81
367,Zemio,CF,1590016036.0,70.21,5.03,25.14,97.0,100.0,1.9
368,San Jeronimito,MX,1590016039.0,86.0,17.55,-101.33,66.0,5.0,8.05
369,Muhafazat Lahij,YE,1590016042.0,88.68,13.17,44.58,48.0,95.0,2.64
370,Viborg,DK,1590016045.0,48.2,56.45,9.4,76.0,85.0,2.24
371,Fortuna,US,1590015566.0,62.01,40.6,-124.16,71.0,90.0,11.41
372,Edson,CA,1590015658.0,66.2,53.58,-116.44,39.0,75.0,11.41
373,Rocky Mountain House,CA,1590015801.0,55.71,52.37,-114.92,77.0,99.0,8.66
374,Kristianstad,SE,1590016058.0,48.0,56.03,14.15,100.0,75.0,2.24
375,Arlit,NE,1590016061.0,92.1,18.74,7.39,11.0,0.0,5.88
376,Santa Cruz de la Sierra,BO,1590016064.0,80.6,-17.8,-63.17,78.0,20.0,13.87
377,Solnechnyy,RU,1590016067.0,56.86,50.72,136.63,72.0,100.0,2.59
378,Ixtapa,MX,1590016070.0,80.6,20.7,-105.2,78.0,5.0,14.99
379,Sur,OM,1590015756.0,89.19,22.57,59.53,35.0,14.0,10.67
380,Itarema,BR,1590016076.0,78.49,-2.92,-39.92,87.0,94.0,10.16
381,Gravdal,NO,1590016080.0,39.4,68.12,13.5,75.0,98.0,6.38
382,Tarakan,ID,1590016083.0,80.38,3.3,117.63,82.0,96.0,6.69
383,Rongcheng,CN,1590016086.0,72.72,30.63,117.85,71.0,100.0,1.5
384,Inverell,AU,1590016089.0,59.0,-29.78,151.12,94.0,100.0,1.99
385,Sheridan,US,1590016092.0,69.8,44.83,-106.92,60.0,75.0,12.75
386,Riyadh,SA,1590016095.0,86.0,24.69,46.72,28.0,0.0,6.53
387,Triolet,MU,1590016098.0,70.0,-20.05,57.55,79.0,8.0,5.01
388,Pokosnoye,RU,1590016102.0,51.58,55.53,101.05,75.0,0.0,7.4
389,Mamlyutka,KZ,1590016105.0,52.2,54.94,68.54,94.0,100.0,7.23
390,Omboué,GA,1590016108.0,77.05,-1.57,9.26,89.0,97.0,3.56
391,Cururupu,BR,1590015758.0,77.04,-1.83,-44.87,92.0,96.0,3.47
392,Florianópolis,BR,1590015872.0,72.0,-27.61,-48.5,83.0,20.0,6.93
393,Cabo Rojo,PR,1590016117.0,82.0,18.09,-67.15,73.0,84.0,3.0
394,Balabac,PH,1590016120.0,84.88,7.99,117.06,74.0,100.0,9.17
395,Izumo,JP,1590016123.0,57.2,35.37,132.77,82.0,75.0,6.93
396,Cairns,AU,1590015863.0,75.99,-16.92,145.77,83.0,75.0,8.05
397,Port Augusta,AU,1590016130.0,48.2,-32.5,137.77,100.0,21.0,6.93
398,Manta,EC,1590016133.0,82.4,-0.95,-80.73,78.0,25.0,13.87
399,Ust-Nera,RU,1590016136.0,44.94,64.57,143.2,57.0,12.0,3.09
400,Adelaide,AU,1590015977.0,52.0,-34.93,138.6,76.0,75.0,6.93
401,Rockhampton,AU,1590016142.0,68.0,-23.38,150.5,88.0,100.0,3.36
402,Neuquén,AR,1590016145.0,50.0,-38.95,-68.06,76.0,20.0,7.74
403,Xinqing,CN,1590016148.0,60.71,48.23,129.5,46.0,100.0,1.14
404,Paracuru,BR,1590015692.0,82.99,-3.41,-39.03,76.0,90.0,11.99
405,Mazamari,PE,1590016154.0,73.24,-11.33,-74.53,80.0,62.0,0.34
406,Psebay,RU,1590016157.0,55.67,44.12,40.81,57.0,68.0,4.74
407,Oddur,SO,1590016161.0,72.72,4.12,43.89,85.0,23.0,14.83
408,Amontada,BR,1590016164.0,75.25,-3.36,-39.83,94.0,100.0,3.76
409,Smithers,CA,1590016022.0,53.6,54.78,-127.17,66.0,75.0,5.82
410,Margate,GB,1590016170.0,60.01,51.38,1.39,78.0,82.0,1.99
411,Siddipet,IN,1590016173.0,85.91,18.1,78.85,17.0,96.0,10.71
412,Liberal,US,1590016176.0,77.0,37.04,-100.92,57.0,1.0,19.46
413,Ituango,CO,1590016179.0,67.51,7.17,-75.76,94.0,92.0,2.24
414,Biltine,TD,1590016182.0,83.84,14.53,20.92,20.0,30.0,7.43
415,Fredericton,CA,1590016185.0,69.8,45.95,-66.67,63.0,1.0,10.29
416,Sisimiut,GL,1590016189.0,37.26,66.94,-53.67,79.0,90.0,7.52
417,Shitanjing,CN,1590016192.0,66.88,39.23,106.34,24.0,61.0,10.51
418,Hirara,JP,1590016195.0,71.6,24.8,125.28,94.0,75.0,24.16
419,Pamplona,ES,1590015978.0,62.6,42.82,-1.64,59.0,0.0,2.24
420,Yar-Sale,RU,1590016201.0,53.64,66.83,70.83,80.0,92.0,14.07
421,Santa Maria da Vitória,BR,1590016204.0,70.61,-13.39,-44.19,74.0,48.0,5.7
422,Broken Hill,AU,1590016207.0,44.6,-31.95,141.43,75.0,0.0,16.11
423,Le Vauclin,MQ,1590016210.0,82.99,14.55,-60.84,78.0,20.0,5.82
424,Ialibu,PG,1590016213.0,64.4,-6.28,143.99,77.0,20.0,4.7
425,Laguna,US,1590016035.0,79.0,38.42,-121.42,38.0,1.0,3.36
426,Sitka,US,1590015756.0,51.8,57.05,-135.33,76.0,75.0,3.36
427,Koryukivka,UA,1590016223.0,38.68,51.77,32.25,80.0,0.0,7.36
428,Bani Walid,LY,1590016226.0,67.86,31.76,13.99,43.0,0.0,6.2
429,Aitape,PG,1590016229.0,83.43,-3.14,142.35,72.0,49.0,2.71
430,Amga,RU,1590016232.0,53.67,60.9,131.96,42.0,0.0,4.47
431,Arrecife,ES,1590016235.0,68.0,28.96,-13.55,77.0,0.0,18.34
432,Celestún,MX,1590016238.0,84.94,20.87,-90.4,71.0,6.0,15.14
433,Lac du Bonnet,CA,1590016241.0,79.0,50.25,-96.06,37.0,45.0,8.99
434,Tonantins,BR,1590016245.0,75.63,-2.87,-67.8,93.0,96.0,1.39
435,Krasnoarmiys'k,UA,1590016248.0,47.7,48.28,37.18,92.0,93.0,7.47
436,Kilindoni,TZ,1590016251.0,79.2,-7.91,39.67,78.0,10.0,21.47
437,Kholmogory,RU,1590016254.0,37.4,64.22,41.66,86.0,90.0,8.95
438,Puerto Escondido,MX,1590016257.0,86.0,15.85,-97.07,70.0,5.0,6.89
439,Tonj,SS,1590016260.0,75.29,7.27,28.68,84.0,91.0,5.7
440,Lanzhou,CN,1590016263.0,60.01,36.06,103.79,38.0,100.0,5.19
441,Mandapam,IN,1590016266.0,86.02,9.28,79.12,74.0,47.0,17.11
442,Kristiansund,NO,1590015756.0,44.6,63.11,7.73,52.0,99.0,14.99
443,Marzuq,YE,1590016273.0,80.17,14.4,46.47,51.0,71.0,3.33
444,Kamen'-Rybolov,RU,1590016276.0,47.16,44.75,132.04,77.0,100.0,9.37
445,Nisporeni,MD,1590016279.0,54.0,47.08,28.18,66.0,100.0,11.41
446,Winnemucca,US,1590016282.0,62.6,40.97,-117.74,34.0,75.0,14.99
447,Odienné,CI,1590016285.0,79.05,9.51,-7.57,70.0,81.0,3.74
448,Richards Bay,ZA,1590016111.0,64.62,-28.78,32.04,90.0,0.0,5.19
449,Kiama,AU,1590016291.0,61.0,-34.68,150.87,83.0,25.0,1.01
450,Mollendo,PE,1590016294.0,63.93,-17.02,-72.01,78.0,29.0,7.36
451,Druzhnaya Gorka,RU,1590016297.0,37.4,59.28,30.14,86.0,90.0,15.66
452,Nong’an,CN,1590016301.0,53.6,44.38,125.17,87.0,40.0,4.47
453,San Andrés,CO,1590016116.0,82.4,12.58,-81.7,78.0,90.0,6.93
454,Zelenoborskiy,RU,1590016307.0,31.62,66.84,32.36,95.0,41.0,7.61
455,Torbat-e Jām,IR,1590016310.0,63.32,35.24,60.62,37.0,56.0,12.44
456,Kyshtovka,RU,1590016313.0,54.84,56.55,76.63,59.0,20.0,7.38
457,Sītāmarhi,IN,1590016316.0,74.17,26.6,85.48,83.0,100.0,6.42
458,Banda Aceh,ID,1590016319.0,81.95,5.56,95.32,74.0,100.0,7.43
459,Marabu,MY,1590016312.0,78.8,4.41,114.01,100.0,75.0,3.36
460,Pyshma,RU,1590016326.0,48.76,56.95,63.25,92.0,82.0,6.2
461,Mgachi,RU,1590016329.0,53.6,51.05,142.27,43.0,81.0,9.55
462,Porbandar,IN,1590016332.0,82.36,21.64,69.61,79.0,0.0,12.1
463,Pedersore,FI,1590016335.0,39.0,63.65,22.68,84.0,0.0,5.82
464,Härnösand,SE,1590016143.0,37.99,62.63,17.94,86.0,0.0,3.36
465,Sherlovaya Gora,RU,1590016341.0,49.48,50.57,116.25,88.0,100.0,0.85
466,Tyrma,RU,1590016344.0,59.02,50.08,132.17,64.0,97.0,2.06
467,Pellérd,HU,1590016347.0,54.0,46.03,18.15,97.0,84.0,6.93
468,Los Llanos de Aridane,ES,1590016350.0,68.0,28.66,-17.92,68.0,0.0,9.17
469,Verkh-Chebula,RU,1590016354.0,59.54,56.03,87.62,65.0,66.0,2.73
470,Gunjur,GM,1590016357.0,73.9,13.2,-16.73,71.0,0.0,18.84
471,Vawkavysk,BY,1590016360.0,37.4,53.16,24.45,89.0,0.0,8.48
472,Hualmay,PE,1590016363.0,66.11,-11.1,-77.61,78.0,1.0,9.64
473,Santiago,CL,1590016355.0,51.8,-33.46,-70.65,93.0,75.0,2.48
474,La Ronge,CA,1590016113.0,48.2,55.1,-105.28,44.0,90.0,9.17
475,Amzya,RU,1590016372.0,38.28,56.24,54.39,90.0,72.0,3.31
476,Obo,CF,1590016266.0,68.88,5.4,26.49,98.0,100.0,2.19
477,Ginir,ET,1590016379.0,56.12,7.13,40.7,97.0,0.0,5.35
478,Mikhaylovka,RU,1590016095.0,46.0,50.06,43.24,94.0,90.0,1.81
479,Comodoro Rivadavia,AR,1590016130.0,51.8,-45.87,-67.5,57.0,0.0,6.93
480,Lakhdenpokh'ya,RU,1590016388.0,35.01,61.52,30.2,91.0,100.0,16.53
481,Oktyabr'skoye,RU,1590016391.0,53.6,43.06,44.74,81.0,4.0,2.24
482,Linqiong,CN,1590016394.0,73.0,30.42,103.46,100.0,40.0,4.47
483,Nuuk,GL,1590016103.0,33.8,64.18,-51.72,85.0,2.0,12.75
484,Estelle,US,1590016315.0,84.2,29.85,-90.11,66.0,75.0,4.27
485,Cárdenas,CU,1590016403.0,77.0,23.04,-81.2,94.0,75.0,5.82
486,Russell,US,1590016406.0,77.0,32.35,-85.2,57.0,75.0,6.93
487,Brae,GB,1590016410.0,48.2,60.4,-1.35,93.0,100.0,19.46
488,Mbandaka,CD,1590016413.0,74.03,0.05,18.26,76.0,0.0,3.22
489,Matara,LK,1590016416.0,79.5,5.95,80.54,86.0,71.0,15.55
490,Khovd,MN,1590016419.0,59.92,48.01,91.64,35.0,58.0,1.72
491,Caravelas,BR,1590016422.0,72.23,-17.71,-39.25,87.0,79.0,8.88
492,Khāsh,IR,1590016425.0,67.24,28.22,61.22,35.0,65.0,7.07
493,Ilfracombe,GB,1590016428.0,57.99,51.21,-4.11,83.0,22.0,5.99
494,Savannah Bight,HN,1590016431.0,84.15,16.45,-85.85,79.0,57.0,20.85
495,Baturaja,ID,1590016434.0,71.01,-4.13,104.17,91.0,87.0,0.43
496,Leh,IN,1590016438.0,40.14,34.17,77.58,51.0,0.0,0.36
497,Mangan,IN,1590016441.0,73.02,27.52,88.53,54.0,100.0,1.83
498,Katsuura,JP,1590016444.0,55.0,35.13,140.3,87.0,75.0,10.29
499,Kawalu,ID,1590016447.0,73.98,-7.38,108.21,91.0,95.0,0.92
500,Saint-Joseph,RE,1590016450.0,71.6,-21.37,55.62,68.0,90.0,14.99
501,The Pas,CA,1590016453.0,51.8,53.83,-101.25,62.0,90.0,10.29
502,Pāsighāt,IN,1590016456.0,72.45,28.07,95.33,81.0,100.0,2.98
503,Proseč,CZ,1590016459.0,48.99,49.81,16.12,81.0,2.0,2.04
504,Maceió,BR,1590016263.0,78.8,-9.67,-35.74,83.0,75.0,3.36
505,Kosa,RU,1590016466.0,42.33,59.94,55.0,96.0,51.0,4.18
506,Buşayrā,JO,1590016469.0,76.33,30.74,35.61,19.0,0.0,3.31
507,Batagay-Alyta,RU,1590016472.0,41.16,67.8,130.41,62.0,36.0,4.36
508,Vallenar,CL,1590016475.0,50.79,-28.57,-70.76,77.0,91.0,2.06
509,Khandyga,RU,1590016478.0,57.88,62.67,135.6,44.0,60.0,1.34
510,Carballo,ES,1590016481.0,52.0,43.21,-8.69,90.0,98.0,1.01
511,Pitimbu,BR,1590016323.0,77.0,-7.47,-34.81,100.0,20.0,6.93
512,Simbahan,PH,1590016488.0,83.37,6.3,120.58,74.0,28.0,4.29
513,Kuching,MY,1590016197.0,77.0,1.55,110.33,94.0,20.0,6.22
514,Shingū,JP,1590016494.0,62.6,33.73,135.98,63.0,40.0,10.29
515,Mogadishu,SO,1590016498.0,80.96,2.04,45.34,80.0,13.0,15.97
516,Acapulco de Juárez,MX,1590016502.0,87.8,16.86,-99.89,55.0,5.0,13.87
517,Wanning,CN,1590016505.0,82.76,18.8,110.4,88.0,100.0,11.52
518,Saint-Leu,RE,1590016508.0,71.6,-21.15,55.28,68.0,90.0,14.99
519,Nabire,ID,1590016511.0,80.1,-3.37,135.48,85.0,100.0,2.93
520,Stolin,BY,1590016515.0,38.97,51.89,26.85,81.0,0.0,5.75
521,Turukhansk,RU,1590016518.0,61.77,65.82,87.98,61.0,0.0,15.14
522,Registro,BR,1590016521.0,65.73,-24.49,-47.84,96.0,9.0,1.48
523,Natal,BR,1590016291.0,77.0,-5.79,-35.21,94.0,75.0,5.82
524,Belaya Gora,RU,1590016527.0,45.88,68.53,146.42,56.0,20.0,2.19
525,Kautokeino,NO,1590016530.0,23.25,69.01,23.04,97.0,45.0,1.43
526,Dinguiraye,GN,1590016534.0,83.66,11.3,-10.72,34.0,43.0,2.64
527,Lavrentiya,RU,1590016342.0,30.31,65.58,-171.0,95.0,0.0,7.07
528,Rivera,UY,1590016541.0,69.1,-30.91,-55.55,86.0,58.0,5.86
529,Qaraçala,AZ,1590016545.0,62.01,39.81,48.95,84.0,27.0,4.05
530,Singarāyakonda,IN,1590016548.0,89.11,15.25,80.03,46.0,53.0,11.99
531,Honningsvåg,NO,1590016551.0,37.65,70.98,25.97,78.0,33.0,8.52
532,Lafia,NG,1590016554.0,79.9,8.48,8.52,81.0,25.0,6.04
533,Asunción,PY,1590016439.0,86.0,-25.3,-57.64,42.0,39.0,10.29
